Id,Tweets,Length,Likes,Retweets,Created_at,Source
1310233868545523715,10 Things to Know Before Travelling to Italy https://t.co/zcfA2Y7cEy #travel #tourism #vacation #holiday #adventure… https://t.co/AofwP2Kwoy,140,1,0,2020-09-27 15:04:31,Twitter for Android
1310233681265438721,"Vlog #5 Sunday Jawa Riders Meet.

https://t.co/aujHnquGN3

#jawa
#jawaperak
#perak #follow #YouTube #vlogger #rider… https://t.co/Z0yMo5xbXo",140,0,0,2020-09-27 15:03:47,Twitter for Android
1310233070696574977,"In the midst of chaos, nature is always at peace.

Photo credit: Daniel Roe

#travel #adventure #photography… https://t.co/TT6xnnHVOF",133,0,0,2020-09-27 15:01:21,LaterMedia
1310233047183261697,"RT @TravelPixPro1: Life on the #GrandCanal #Venice #Italy

#Travel #Europe #ItalianCulture #WallArt #ArtforSale #ShopSmall #Wanderlust

Col…",140,0,46,2020-09-27 15:01:16,Twitter for iPad
1310232910243471360,"RT @SriLankaTweet: Today is #WorldTourismDay.
2020 Tourism achievements 🇱🇰.
🏆️BEST country to travel, The Times UK
🏆️20 Best places to visi…",140,0,52,2020-09-27 15:00:43,Twitter for Android
1310232752919322626,"Have you tried being a tourist in your own home city? While its still best to limit long distance travel, why not p… https://t.co/CySuqd0DkD",140,0,0,2020-09-27 15:00:05,Buffer
1310232730647617537,"FlyLine Deal:  Round-trip flight on United Airlines, Frontier from San Francisco to New York for just $187.00 on 10… https://t.co/Yz5wmKkAiY",140,0,0,2020-09-27 15:00:00,joinflyline
1310231247394713600,"RT @beepkart: On this Tourism Day, let’s switch to Electric Scooters that are cost-effective, green and super safe. So, shop for your favor…",140,0,1,2020-09-27 14:54:06,Twitter for Android
1310230724558155776,"WORLD TOURISM DAY 🌏
As it is #WorldTourismDay, we want to know if you could travel anywhere in the world, where wou… https://t.co/ifwXVVen2L",140,0,0,2020-09-27 14:52:02,Sprout Social
1310230697819418625,"Go where adventure takes you. 🛶  #VisitRehoboth 

📷 @DEStateParks 

#visitlewes #statepark #paddle #wanderlust… https://t.co/4BXCig0Mgo",135,0,0,2020-09-27 14:51:55,Twitter for iPhone
1310230658464321538,"RT @SriLankaTweet: Today is #WorldTourismDay.
2020 Tourism achievements 🇱🇰.
🏆️BEST country to travel, The Times UK
🏆️20 Best places to visi…",140,0,52,2020-09-27 14:51:46,Twitter Web App
1310229872061677570,RT @kopiaste: Somewhere in Old Nicosia... 👀 Who fancies a frappe or a classic Cypriot coffee? #travel #photography #nicosia #cyprus #wander…,140,0,5,2020-09-27 14:48:39,Twitter for Android
1310229818341031936,"RT @HydTimes: #WorldTourismDay : @hegdepooja shares a sneak-peek into all her adventures 🌍🎒👑✨

#PoojaHegde #Tollywood #TollywoodActress #Bo…",140,0,3,2020-09-27 14:48:26,Twitter for Android
1310229462118805504,"RT @TaxisBoro: TO TRAVEL IS TO LIVE 👣 
It's #WorldTourismDay, and we want to know your dream holiday destinations!📍
Share your destinations…",140,0,1,2020-09-27 14:47:01,Twitter for Android
1310228988648882179,"RT @TravelPixPro1: #CaleraMission #WestTexas

#Travel #Texas #TravelTexas #WallArt #ArtforSale #ShopSmall #Wanderlust

Color Splash https:/…",140,0,15,2020-09-27 14:45:08,Twitter Web App
1310228786512764930,"RT @SriLankaTweet: Today is #WorldTourismDay.
2020 Tourism achievements 🇱🇰.
🏆️BEST country to travel, The Times UK
🏆️20 Best places to visi…",140,0,52,2020-09-27 14:44:20,Twitter for Android
1310228732586733568,"RT @TravelPixPro1: Life on the #GrandCanal #Venice #Italy

#Travel #Europe #ItalianCulture #WallArt #ArtforSale #ShopSmall #Wanderlust

Col…",140,0,46,2020-09-27 14:44:07,Twitter for iPhone
1310228719773118464,"RT @ragnarico: Russia 🇷🇺. Follow @ragnarico for more amazing travel photos.
#russia #moscow #kremlin #traveling #traveltuesday
#letsgoevery…",140,0,2,2020-09-27 14:44:04,Twitter for Android
1310228606652739584,"RT @TravelPixPro1: Life on the #GrandCanal #Venice #Italy

#Travel #Europe #ItalianCulture #WallArt #ArtforSale #ShopSmall #Wanderlust

Col…",140,0,46,2020-09-27 14:43:37,Twitter for iPad
1310228404889939969,"RT @TravelPixPro1: Life on the #GrandCanal #Venice #Italy

#Travel #Europe #ItalianCulture #WallArt #ArtforSale #ShopSmall #Wanderlust

Col…",140,0,46,2020-09-27 14:42:49,Twitter Web App
1310228380961239040,"RT @travelrealize: I travel to celebrate winter; I travel to realize no matter how strong is the gray winter, spring arrives; I travel to r…",140,0,1,2020-09-27 14:42:43,Twitter for Android
1310228315106611201,"RT @TravelPixPro1: Life on the #GrandCanal #Venice #Italy

#Travel #Europe #ItalianCulture #WallArt #ArtforSale #ShopSmall #Wanderlust

Col…",140,0,46,2020-09-27 14:42:27,Twitter Web App
1310228211146657792,"RT @TravelPixPro1: #CaleraMission #WestTexas

#Travel #Texas #TravelTexas #WallArt #ArtforSale #ShopSmall #Wanderlust

Color Splash https:/…",140,0,15,2020-09-27 14:42:03,Twitter Web App
1310228145329537025,"RT @TravelPixPro1: #ArtNouveau #Paris #France #Metro #Entrance #Sign #ColorSplash

#Travel #Europe #French #Culture #WallArt #ArtforSale #S…",140,0,70,2020-09-27 14:41:47,Twitter Web App
1310228040509722637,"RT @TravelPixPro1: Life on the #GrandCanal #Venice #Italy

#Travel #Europe #ItalianCulture #WallArt #ArtforSale #ShopSmall #Wanderlust

Col…",140,0,46,2020-09-27 14:41:22,Twitter for iPhone
1310228032137752576,"RT @SriLankaTweet: Today is #WorldTourismDay.
2020 Tourism achievements 🇱🇰.
🏆️BEST country to travel, The Times UK
🏆️20 Best places to visi…",140,0,52,2020-09-27 14:41:20,Twitter Web App
